book-ye.com.ua,"HTTPSConnectionPool(host='book-ye.com.ua', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='book-ye.com.ua', port=443): Read timed out. (read timeout=2)"
bru.ac.th,"HTTPSConnectionPool(host='bru.ac.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a4254880>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='bru.ac.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a4589d30>: Failed to establish a new connection: [Errno 111] Connection refused'))"
brussels-onstage.be,"HTTPSConnectionPool(host='brussels-onstage.be', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a4102dc0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='brussels-onstage.be', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a3f11220>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bs.ch,"HTTPSConnectionPool(host='bs.ch', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'bs.ch' doesn't match either of 'www.bs.ch', 'query.staatsarchiv.bs.ch', 'www.2000-watt.bs.ch', 'www.abes.bs.ch', 'www.abteilungsucht.bs.ch', 'www.anwaltsaufsichtskommission.bs.ch', 'www.appellationsgericht.bs.ch', 'www.arbeitgeber.bs.ch', 'www.archaeologie.bs.ch', 'www.asb.bs.ch', 'www.aue.bs.ch', 'www.awa.bs.ch', 'www.baselkultur.ch', 'www.baslerstadtgruen.bs.ch', 'www.baurekurskommission.bs.ch', 'www.bdm.bs.ch', 'www.bettingen.bs.ch', 'www.bewilligungen.bs.ch', 'www.bgi.bs.ch', 'www.bka.bs.ch', 'www.bvd.bs.ch', 'www.climate-protection.bs.ch', 'www.coronavirus.bs.ch', 'www.denkmalpflege.bs.ch', 'www.digitale-mitbestimmung.bs.ch', 'www.dsb.bs.ch', 'www.ed.bs.ch', 'www.entwicklung.bs.ch', 'www.erbschaftsamt.bs.ch', 'www.fd.bs.ch', 'www.finanzkontrolle.bs.ch', 'www.foederalismus2021.bs.ch', 'www.fu-gericht.bs.ch', 'www.fu-rekurskommission.bs.ch', 'www.fv.bs.ch', 'www.gd.bs.ch', 'www.geo.bs.ch', 'www.gerichte.bs.ch', 'www.gerichtsrat.bs.ch', 'www.geschlechterdiskriminierung.bs.ch', 'www.gesundheit.bs.ch', 'www.gesundheitsdienste.bs.ch', 'www.gesundheitsschutz.bs.ch', 'www.gesundheitsversorgung.bs.ch', 'www.gleichstellung.bs.ch', 'www.gva.bs.ch', 'www.herbstmesse.bs.ch', 'www.hochbauamt.bs.ch', 'www.hochschulen.bs.ch', 'www.irm-bs.ch', 'www.irm.bs.ch', 'www.itbs.bs.ch', 'www.jfs.bs.ch', 'www.jsd.bs.ch', 'www.jugendarbeitslosigkeit.bs.ch', 'www.jugendgericht.bs.ch', 'www.jugendgesundheit.bs.ch', 'www.kantonslabor.bs.ch', 'www.kdm.bs.ch', 'www.kesb.bs.ch', 'www.kfoeb.bs.ch', 'www.klimaschutz.bs.ch', 'www.krisenorganisation.bs.ch', 'www.kultur.bs.ch', 'www.kulturbasel.ch', 'www.kulturgesuche.bs.ch', 'www.kvs.bs.ch', 'www.liv.bs.ch', 'www.marketing.bs.ch', 'www.materialzentrale.bs.ch', 'www.mb.bs.ch', 'www.medien.bs.ch', 'www.metropolitankonferenz-basel.bs.ch', 'www.metropolitankonferenz.bs.ch', 'www.mietberatung.bs.ch', 'www.mobilitaet.bs.ch', 'www.ombudsstelle.bs.ch', 'www.online-dokumentation.bs.ch', 'www.opendata.bs.ch', 'www.parkhaeuser.bs.ch', 'www.pd.bs.ch', 'www.planungsamt.bs.ch', 'www.polizei.bs.ch', 'www.redi.bs.ch', 'www.regierungsrat.bs.ch', 'www.rekurskommission-bostadel.bs.ch', 'www.rettung.bs.ch', 'www.richtplan.bs.ch', 'www.schappo.bs.ch', 'www.smartcity.bs.ch', 'www.sompsynet.bs.ch', 'www.sozialhilfe.bs.ch', 'www.sozialversicherungsgericht.bs.ch', 'www.staatsarchiv.bs.ch', 'www.staatskanzlei.bs.ch', 'www.stadtgaertnerei.bs.ch', 'www.stadtklima.bs.ch', 'www.stadtwohnen.bs.ch', 'www.staedtebau-architektur.bs.ch', 'www.statistik.bs.ch', 'www.stawa.bs.ch', 'www.steuerrekurskommission.bs.ch', 'www.steuerverwaltung.bs.ch', 'www.strafgericht.bs.ch', 'www.submissionen.bs.ch', 'www.sucht.bs.ch', 'www.test-mag.bs.ch', 'www.tiefbauamt.bs.ch', 'www.umweltberichtbeiderbasel.bs.ch', 'www.veterinaeramt.bs.ch', 'www.volksschulen.bs.ch', 'www.wahlvorschlagsformular.bs.ch', 'www.wsu.bs.ch', 'www.zid.bs.ch', 'www.zivilgericht.bs.ch'"")))","HTTPSConnectionPool(host='bs.ch', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'bs.ch' doesn't match either of 'www.bs.ch', 'query.staatsarchiv.bs.ch', 'www.2000-watt.bs.ch', 'www.abes.bs.ch', 'www.abteilungsucht.bs.ch', 'www.anwaltsaufsichtskommission.bs.ch', 'www.appellationsgericht.bs.ch', 'www.arbeitgeber.bs.ch', 'www.archaeologie.bs.ch', 'www.asb.bs.ch', 'www.aue.bs.ch', 'www.awa.bs.ch', 'www.baselkultur.ch', 'www.baslerstadtgruen.bs.ch', 'www.baurekurskommission.bs.ch', 'www.bdm.bs.ch', 'www.bettingen.bs.ch', 'www.bewilligungen.bs.ch', 'www.bgi.bs.ch', 'www.bka.bs.ch', 'www.bvd.bs.ch', 'www.climate-protection.bs.ch', 'www.coronavirus.bs.ch', 'www.denkmalpflege.bs.ch', 'www.digitale-mitbestimmung.bs.ch', 'www.dsb.bs.ch', 'www.ed.bs.ch', 'www.entwicklung.bs.ch', 'www.erbschaftsamt.bs.ch', 'www.fd.bs.ch', 'www.finanzkontrolle.bs.ch', 'www.foederalismus2021.bs.ch', 'www.fu-gericht.bs.ch', 'www.fu-rekurskommission.bs.ch', 'www.fv.bs.ch', 'www.gd.bs.ch', 'www.geo.bs.ch', 'www.gerichte.bs.ch', 'www.gerichtsrat.bs.ch', 'www.geschlechterdiskriminierung.bs.ch', 'www.gesundheit.bs.ch', 'www.gesundheitsdienste.bs.ch', 'www.gesundheitsschutz.bs.ch', 'www.gesundheitsversorgung.bs.ch', 'www.gleichstellung.bs.ch', 'www.gva.bs.ch', 'www.herbstmesse.bs.ch', 'www.hochbauamt.bs.ch', 'www.hochschulen.bs.ch', 'www.irm-bs.ch', 'www.irm.bs.ch', 'www.itbs.bs.ch', 'www.jfs.bs.ch', 'www.jsd.bs.ch', 'www.jugendarbeitslosigkeit.bs.ch', 'www.jugendgericht.bs.ch', 'www.jugendgesundheit.bs.ch', 'www.kantonslabor.bs.ch', 'www.kdm.bs.ch', 'www.kesb.bs.ch', 'www.kfoeb.bs.ch', 'www.klimaschutz.bs.ch', 'www.krisenorganisation.bs.ch', 'www.kultur.bs.ch', 'www.kulturbasel.ch', 'www.kulturgesuche.bs.ch', 'www.kvs.bs.ch', 'www.liv.bs.ch', 'www.marketing.bs.ch', 'www.materialzentrale.bs.ch', 'www.mb.bs.ch', 'www.medien.bs.ch', 'www.metropolitankonferenz-basel.bs.ch', 'www.metropolitankonferenz.bs.ch', 'www.mietberatung.bs.ch', 'www.mobilitaet.bs.ch', 'www.ombudsstelle.bs.ch', 'www.online-dokumentation.bs.ch', 'www.opendata.bs.ch', 'www.parkhaeuser.bs.ch', 'www.pd.bs.ch', 'www.planungsamt.bs.ch', 'www.polizei.bs.ch', 'www.redi.bs.ch', 'www.regierungsrat.bs.ch', 'www.rekurskommission-bostadel.bs.ch', 'www.rettung.bs.ch', 'www.richtplan.bs.ch', 'www.schappo.bs.ch', 'www.smartcity.bs.ch', 'www.sompsynet.bs.ch', 'www.sozialhilfe.bs.ch', 'www.sozialversicherungsgericht.bs.ch', 'www.staatsarchiv.bs.ch', 'www.staatskanzlei.bs.ch', 'www.stadtgaertnerei.bs.ch', 'www.stadtklima.bs.ch', 'www.stadtwohnen.bs.ch', 'www.staedtebau-architektur.bs.ch', 'www.statistik.bs.ch', 'www.stawa.bs.ch', 'www.steuerrekurskommission.bs.ch', 'www.steuerverwaltung.bs.ch', 'www.strafgericht.bs.ch', 'www.submissionen.bs.ch', 'www.sucht.bs.ch', 'www.test-mag.bs.ch', 'www.tiefbauamt.bs.ch', 'www.umweltberichtbeiderbasel.bs.ch', 'www.veterinaeramt.bs.ch', 'www.volksschulen.bs.ch', 'www.wahlvorschlagsformular.bs.ch', 'www.wsu.bs.ch', 'www.zid.bs.ch', 'www.zivilgericht.bs.ch'"")))"
bseindia.com,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect header check'))"
bsi.ac.id,"HTTPSConnectionPool(host='bsi.ac.id', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.bsi.ac.id', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
bsru.ac.th,"HTTPSConnectionPool(host='bsru.ac.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='bsru.ac.th', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
bsu.by,"HTTPSConnectionPool(host='bsu.by', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='bsu.by', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
bucatareselevesele.ro,"HTTPSConnectionPool(host='bucatareselevesele.ro', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f18a43b85b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='bucatareselevesele.ro', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f18a40c1070>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
bulelengkab.go.id,"HTTPSConnectionPool(host='bulelengkab.go.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='bulelengkab.go.id', port=443): Read timed out. (read timeout=2)"
bulnews.bg,"HTTPSConnectionPool(host='www.bulnews.bg', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.bulnews.bg', port=443): Read timed out. (read timeout=2)"
