vhodne-uverejneni.cz,"HTTPSConnectionPool(host='www.vhodne-uverejneni.cz', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.vhodne-uverejneni.cz', port=443): Read timed out. (read timeout=2)"
vodacom.co.za,"HTTPSConnectionPool(host='vodacom.co.za', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'vodacom.co.za' doesn't match either of 'www.vodacom.co.za', 'web.vodacom.co.za'"")))","HTTPSConnectionPool(host='vodacom.co.za', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'vodacom.co.za' doesn't match either of 'www.vodacom.co.za', 'web.vodacom.co.za'"")))"
vodafone.com.eg,"HTTPSConnectionPool(host='web.vodafone.com.eg', port=443): Max retries exceeded with url: /ar/home (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f412e52ed30>, 'Connection to web.vodafone.com.eg timed out. (connect timeout=2)'))","HTTPSConnectionPool(host='web.vodafone.com.eg', port=443): Max retries exceeded with url: /ar/home (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f412e07bc10>, 'Connection to web.vodafone.com.eg timed out. (connect timeout=2)'))"
vodafone.es,"HTTPSConnectionPool(host='vodafone.es', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.vodafone.es', port=443): Max retries exceeded with url: /c/particulares/es/ (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))"
vodafone.ua,"HTTPSConnectionPool(host='vodafone.ua', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))","HTTPSConnectionPool(host='vodafone.ua', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))"
vpvb.gov.lv,"HTTPSConnectionPool(host='vpvb.gov.lv', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4130eec8e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='vpvb.gov.lv', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f4130370670>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
vru.ac.th,"HTTPSConnectionPool(host='vru.ac.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f4136872640>: Failed to establish a new connection: [Errno 113] No route to host'))","HTTPConnectionPool(host='vru.ac.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f412deedd90>: Failed to establish a new connection: [Errno 113] No route to host'))"
vsb.cz,"HTTPSConnectionPool(host='vsb.cz', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f413612b4c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='vsb.cz', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f4134bfb100>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
vtv.gob.ve,"HTTPSConnectionPool(host='vtv.gob.ve', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.vtv.gob.ve', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
vu.edu.pk,"HTTPSConnectionPool(host='vu.edu.pk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='vu.edu.pk', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
vuka.hr,"HTTPSConnectionPool(host='vuka.hr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f41354272e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='vuka.hr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f412dcb88b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
