castillalamancha.es,,utf-8,utf_8
castorama.fr,utf-8,utf-8,utf_8
castorama.pl,utf-8,utf-8,utf_8
castorama.ru,UTF-8,utf-8,utf_8
castro.com,UTF-8,utf-8,utf_8
castroelectronica.pt,utf-8,utf-8,utf_8
cat-house.lv,UTF-8,,utf-8
catalog.bg,,windows-1251,cp1251
catalogo.med.br,,ISO-8859-1,cp1252
catalogodeempresas.cl,iso-8859-1,ascii,ascii
catalogue-24.com,UTF-8,utf-8,utf_8
cataloxy.ru,"""utf-8""",utf-8,utf_8
catawiki.be,utf-8,utf-8,utf_8
catawiki.de,utf-8,utf-8,utf_8
catawiki.dk,utf-8,utf-8,utf_8
catawiki.fi,utf-8,utf-8,utf_8
catawiki.fr,utf-8,utf-8,utf_8
catawiki.it,utf-8,utf-8,utf_8
catawiki.nl,utf-8,utf-8,utf_8
catawiki.no,utf-8,utf-8,utf_8
catawiki.se,utf-8,utf-8,utf_8
catch.co.nz,UTF-8,utf-8,utf_8
catch.com.au,UTF-8,utf-8,utf_8
catchnews.com,UTF-8,ascii,ascii
catdumb.com,UTF-8,utf-8,
catdumb.tv,UTF-8,utf-8,
catedu.es,UTF-8,utf-8,utf_8
catena.ro,UTF-8,ascii,ascii
catenapascupas.ro,UTF-8,utf-8,utf_8
catharinaziekenhuis.nl,UTF-8,utf-8,utf_8
cathedralcollege.org,UTF-8,ascii,ascii
catho.com.br,utf-8,utf-8,
catholic.net,,utf-8,utf_8
catholique.fr,UTF-8,utf-8,utf_8
catie.ac.cr,utf-8,UTF-8-SIG,utf_8_sig
catracalivre.com.br,UTF-8,utf-8,utf_8
causeiq.com,utf-8,ISO-8859-1,utf_8
cautaoferte.ro,UTF-8,Windows-1252,utf_8
cavally.org,UTF-8,ascii,ascii
cawalisse.com,UTF-8,Windows-1254,utf_8
cayshconcierge.org,utf-8,ascii,ascii
cazaofertas.com.mx,UTF-8,utf-8,utf_8
cazeres-arthurimmo.com,utf-8,ascii,ascii
cba.pl,utf-8,utf-8,utf_8
cba24n.com.ar,utf-8,ISO-8859-1,utf_8
cbc-eg.com,UTF-8,utf-8,utf_8
cbc.ca,utf-8,utf-8,utf_8
cbc.rs,UTF-8,utf-8,utf_8
cbdb.cz,UTF-8,utf-8,utf_8
cbf.com.br,UTF-8,utf-8,utf_8
cbfcameroun.org,UTF-8,utf-8,utf_8
cbj.gov.jo,utf-8,utf-8,
cbpconstructorsllc.com,utf-8,ascii,ascii
cbr.ru,utf-8,utf-8,utf_8
cbs.dk,utf-8,utf-8,utf_8
cbs.gov.il,utf-8,utf-8,utf_8
cbs.nl,utf-8,utf-8,utf_8
cbsl.gov.lk,us-ascii,ascii,ascii
cbslocal.com,UTF-8,utf-8,utf_8
cbsnews.com,UTF-8,ascii,ascii
cbssports.com,UTF-8,utf-8,utf_8
cbvacc.fr,utf-8,utf-8,utf_8
cca.org.mx,,ascii,ascii
ccb.org.co,UTF-8,utf-8,utf_8
ccbank.bg,UTF-8,utf-8,utf_8
ccc.eu,UTF-8,utf-8,utf_8
ccc.govt.nz,utf-8,utf-8,utf_8
ccea.org.uy,,ascii,ascii
ccespana.cl,UTF-8,ascii,ascii
cchan.tv,utf-8,utf-8,utf_8
cchobby.dk,UTF-8,utf-8,utf_8
ccm.net,UTF-8,utf-8,utf_8
ccma.cat,UTF-8,utf-8,utf_8
ccoo.es,ISO-8859-1,Windows-1252,iso8859_15
ccpc.ie,UTF-8,Windows-1252,utf_8
cctv.com,utf-8,,utf-8
ccute.cc,UTF-8,utf-8,utf_8
cd.cz,UTF-8,utf-8,utf_8
cda.pl,UTF-8,utf-8,utf_8
cdaction.pl,UTF-8,UTF-8-SIG,utf_8_sig
cdageldrop-mierlo.nl,utf-8,ascii,ascii
cdc.gov,,utf-8,utf_8
cdd.go.th,UTF-8,Windows-1254,utf_8
cdenv.be,utf-8,utf-8,utf_8
cdep.ro,ISO-8859-2,ISO-8859-1,cp1250
cdio.cl,UTF-8,ascii,ascii
cdiscount.com,,utf-8,utf_8
cdjournal.com,EUC-JP,EUC-JP,euc_jis_2004
cdm.me,UTF-8,ascii,ascii
cdmx.gob.mx,UTF-8,utf-8,utf_8
cdr.cz,,utf-8,utf_8
cdt-babes.ro,UTF-8,UTF-8-SIG,utf_8_sig
cea.com.br,utf-8,utf-8,utf_8
ceara.gov.br,UTF-8,Windows-1254,utf_8
cebeo.be,,ascii,ascii
cec.com.br,utf-8,utf-8,utf_8
cecierj.edu.br,UTF-8,utf-8,utf_8
cedars-sinai.org,utf-8,utf-8,utf_8
cedeo.fr,UTF-8,utf-8,utf_8
cefarm24.pl,UTF-8,Windows-1254,hp_roman8
ceges.org,UTF-8,utf-8,utf_8
ceginfo.hu,UTF-8,utf-8,utf_8
ceginformacio.hu,UTF-8,utf-8,utf_8
ceibal.edu.uy,UTF-8,utf-8,utf_8
ceip.edu.uy,utf-8,utf-8,utf_8
cekaja.com,UTF-8,utf-8,utf_8
cekin.si,,utf-8,utf_8
cekos.rs,utf-8,utf-8,utf_8
cel.ro,UTF-8,utf-8,utf_8
celakaja.lv,utf-8,utf-8,utf_8
celcom.com.my,utf-8,ascii,ascii
celeberrima.com,UTF-8,utf-8,utf_8
celebritynetworth.com,UTF-8,utf-8,utf_8
celeiro.pt,UTF-8,utf-8,utf_8
celestino.gr,utf-8,utf-8,utf_8
celiakia.sk,,utf-8,utf_8
celje.info,UTF-8,utf-8,utf_8
cell.com,UTF-8,utf-8,utf_8
cellbazaar.com,UTF-8,utf-8,utf_8
cellcom.co.il,,ascii,ascii
celojumubode.lv,UTF-8,utf-8,utf_8
celostnimedicina.cz,UTF-8,utf-8,utf_8
celotajs.lv,UTF-8,utf-8,utf_8
celsis.lt,UTF-8,utf-8,utf_8
cemaco.com,utf-8,utf-8,utf_8
cena-vykon.cz,UTF-8,utf-8,utf_8
ceneje.si,utf-8,utf-8,utf_8
ceneo.pl,utf-8,utf-8,utf_8
ceneolokalnie.pl,utf-8,utf-8,utf_8
cengage.com,,ascii,ascii
cenia.cz,UTF-8,utf-8,utf_8
