praewwedding.com,"HTTPSConnectionPool(host='praewwedding.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='praewwedding.com', port=443): Read timed out. (read timeout=2)"
prefeitura.sp.gov.br,"HTTPSConnectionPool(host='prefeitura.sp.gov.br', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f7610212490>, 'Connection to prefeitura.sp.gov.br timed out. (connect timeout=2)'))","HTTPConnectionPool(host='prefeitura.sp.gov.br', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f760e3cabb0>, 'Connection to prefeitura.sp.gov.br timed out. (connect timeout=2)'))"
preissuchmaschine.de,"HTTPSConnectionPool(host='preissuchmaschine.de', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='preissuchmaschine.de', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
presidencia.go.cr,"HTTPSConnectionPool(host='presidencia.go.cr', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='presidencia.go.cr', port=80): Read timed out. (read timeout=2)"
presidencia.gob.ec,"('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))","('Connection aborted.', ConnectionResetError(104, 'Connection reset by peer'))"
pressbooks.pub,"HTTPSConnectionPool(host='pressbooks.pub', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='pressbooks.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
priberam.org,"HTTPSConnectionPool(host='priberam.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'priberam.org' doesn't match either of 'www.priberam.pt', 'priberam.pt', 'www.legix.pt', 'dicionario.priberam.org', 'store.priberam.pt', '2016.legix.pt', 'www.flip.pt', 'oanoempalavras.pt', 'app.legix.pt', '*.priberam.com', 'monitio-project.eu', 'plain-x.com', 'app.plain-x.com', 'www.monitio-project.eu', 'staging.plain-x.com'"")))","HTTPSConnectionPool(host='priberam.org', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'priberam.org' doesn't match either of 'www.priberam.pt', 'priberam.pt', 'www.legix.pt', 'dicionario.priberam.org', 'store.priberam.pt', '2016.legix.pt', 'www.flip.pt', 'oanoempalavras.pt', 'app.legix.pt', '*.priberam.com', 'monitio-project.eu', 'plain-x.com', 'app.plain-x.com', 'www.monitio-project.eu', 'staging.plain-x.com'"")))"
pricee.vn,"HTTPSConnectionPool(host='pricee.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='pricee.vn', port=443): Read timed out. (read timeout=2)"
pricesworld.net,"HTTPSConnectionPool(host='www.pricesworld.net', port=443): Read timed out.","HTTPSConnectionPool(host='www.pricesworld.net', port=443): Read timed out."
prijs-trappen.be,"HTTPSConnectionPool(host='prijs-trappen.be', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f760f178e80>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='prijs-trappen.be', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f760e3cacd0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
prim.lt,"HTTPSConnectionPool(host='prim.lt', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f760f2311c0>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='www.prim.lt', port=80): Read timed out. (read timeout=2)"
