917, 83, 84, 4
926, 74, 111, 2
925, 75, 105, 4
922, 78, 122, 5
924, 76, 95, 4
886, 114, 120, 4
932, 68, 126, 9
921, 79, 106, 8
920, 80, 138, 3
931, 69, 88, 7
941, 59, 97, 9
926, 74, 82, 2
921, 79, 108, 7
915, 85, 122, 3
924, 76, 112, 4
930, 70, 92, 8
942, 58, 93, 4
924, 76, 91, 6
905, 95, 106, 3
936, 64, 110, 4
945, 55, 97, 2
912, 88, 112, 5
928, 72, 102, 6
916, 84, 92, 6
932, 68, 127, 6
896, 104, 106, 7
946, 54, 91, 2
937, 63, 96, 5
931, 69, 107, 6
900, 100, 141, 3
870, 130, 101, 8
939, 61, 120, 4
928, 72, 141, 2
130, 8, 19, 1
