handyman.dk,"HTTPSConnectionPool(host='handyman.dk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='handyman.dk', port=443): Read timed out. (read timeout=2)"
hektapatur.no,"HTTPSConnectionPool(host='hektapatur.no', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8482653e20>, 'Connection to hektapatur.no timed out. (connect timeout=2)'))","HTTPConnectionPool(host='hektapatur.no', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f84837bbac0>, 'Connection to hektapatur.no timed out. (connect timeout=2)'))"
hellopro.fr,"('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect data check'))","('Received response with content-encoding: gzip, but failed to decode it.', error('Error -3 while decompressing data: incorrect data check'))"
helsingborg.se,"HTTPSConnectionPool(host='helsingborg.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='helsingborg.se', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
helwan.edu.eg,"HTTPSConnectionPool(host='helwan.edu.eg', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847d5638b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='helwan.edu.eg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f847fabdc70>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hemat.id,"HTTPSConnectionPool(host='www.hemat.id', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.hemat.id', port=443): Read timed out. (read timeout=2)"
heritagehomestayhoian.com,"HTTPSConnectionPool(host='heritagehomestayhoian.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847d5b5640>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='heritagehomestayhoian.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f848428f790>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
heute-lernen.de,"HTTPSConnectionPool(host='heute-lernen.de', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'heute-lernen.de' doesn't match either of '*.spotlight-verlag.de', 'spotlight-verlag.de'"")))","HTTPSConnectionPool(host='heute-lernen.de', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'heute-lernen.de' doesn't match either of '*.spotlight-verlag.de', 'spotlight-verlag.de'"")))"
hijabphoto.com,"HTTPSConnectionPool(host='hijabphoto.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='hijabphoto.com', port=443): Read timed out. (read timeout=2)"
hikaritv.net,"HTTPSConnectionPool(host='hikaritv.net', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8482a4d850>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hikaritv.net', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f8484a9a250>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hillerod.dk,"HTTPSConnectionPool(host='hillerod.dk', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f847c41f8b0>, 'Connection to hillerod.dk timed out. (connect timeout=2)'))","HTTPConnectionPool(host='hillerod.dk', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f847c542430>, 'Connection to hillerod.dk timed out. (connect timeout=2)'))"
hilton.com,"HTTPConnectionPool(host='www.hilton.com', port=80): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.hilton.com', port=80): Read timed out. (read timeout=2)"
hindi2dictionary.com,"HTTPSConnectionPool(host='hindi2dictionary.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f8481f8c9a0>, 'Connection to hindi2dictionary.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='hindi2dictionary.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f847c3cdee0>, 'Connection to hindi2dictionary.com timed out. (connect timeout=2)'))"
hiper.rs,"HTTPSConnectionPool(host='www.hiper.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.hiper.rs', port=443): Read timed out. (read timeout=2)"
hiroshima-u.ac.jp,"HTTPSConnectionPool(host='hiroshima-u.ac.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847cf87880>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hiroshima-u.ac.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f847c41fd60>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hiroshima.lg.jp,"HTTPSConnectionPool(host='hiroshima.lg.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8481fed7f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hiroshima.lg.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f847c4efbb0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hiru.eus,"HTTPSConnectionPool(host='hiru.eus', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847bbf5c70>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hiru.eus', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f84825c7130>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hitgo.sk,"HTTPSConnectionPool(host='www.hitgo.sk', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.hitgo.sk', port=443): Read timed out. (read timeout=2)"
hmg.com.sa,"HTTPSConnectionPool(host='hmg.com.sa', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='hmg.com.sa', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
hmv.co.jp,"HTTPSConnectionPool(host='hmv.co.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.hmv.co.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: DH_KEY_TOO_SMALL] dh key too small (_ssl.c:1124)')))"
hoanmysaigon.com,"HTTPSConnectionPool(host='hoanmysaigon.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='www.hoanmysaigon.com', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
hok.hr,"HTTPSConnectionPool(host='hok.hr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f8481e4f730>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hok.hr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f847c1a45b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
hokkaido.lg.jp,"HTTPSConnectionPool(host='hokkaido.lg.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f847c49eb80>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='hokkaido.lg.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f847d40a4c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
