zobodat.at,"HTTPSConnectionPool(host='zobodat.at', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe0151c94f0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='zobodat.at', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe0141aa430>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
zoominmobiliario.com,"HTTPSConnectionPool(host='zoominmobiliario.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='zoominmobiliario.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fe0129a7250>, 'Connection to zoominmobiliario.com timed out. (connect timeout=2)'))"
zpiz.si,"HTTPSConnectionPool(host='zpiz.si', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe014866640>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='zpiz.si', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe012af64c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
zu.edu.eg,"HTTPSConnectionPool(host='zu.edu.eg', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7fe0132c5160>, 'Connection to zu.edu.eg timed out. (connect timeout=2)'))","HTTPConnectionPool(host='zu.edu.eg', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7fe0129a7970>, 'Connection to zu.edu.eg timed out. (connect timeout=2)'))"
zueriost.ch,"HTTPSConnectionPool(host='zueriost.ch', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='zueriost.ch', port=443): Read timed out. (read timeout=2)"
zuze.co.il,"HTTPSConnectionPool(host='www.zuze.co.il', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.zuze.co.il', port=443): Read timed out. (read timeout=2)"
zvd.si,"HTTPSConnectionPool(host='zvd.si', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fe0114caee0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='zvd.si', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fe012e70880>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
zvu.hr,"HTTPSConnectionPool(host='www.zvu.hr', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.zvu.hr', port=443): Read timed out. (read timeout=2)"
