baodanang.vn,"HTTPSConnectionPool(host='baodanang.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='baodanang.vn', port=443): Read timed out. (read timeout=2)"
beautypassage.nl,"HTTPSConnectionPool(host='beautypassage.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb7d7970>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='beautypassage.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fb99b220>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
beenews.com,"HTTPSConnectionPool(host='beenews.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fbab8c10>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='beenews.com', port=80): Read timed out. (read timeout=2)"
belex.rs,"HTTPSConnectionPool(host='belex.rs', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb716250>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='belex.rs', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fb96b6a0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
belezanaweb.com.br,"HTTPSConnectionPool(host='www.belezanaweb.com.br', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.belezanaweb.com.br', port=443): Read timed out. (read timeout=2)"
belta.by,"HTTPSConnectionPool(host='www.belta.by', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.belta.by', port=443): Read timed out. (read timeout=2)"
belupo.hr,"HTTPSConnectionPool(host='belupo.hr', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fba7e7c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='belupo.hr', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fbab8070>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
ben.com.vn,"HTTPSConnectionPool(host='ben.com.vn', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='ben.com.vn', port=443): Read timed out. (read timeout=2)"
benesserenaturaleitalia.it,Exceeded 30 redirects.,Exceeded 30 redirects.
beniculturali.it,"HTTPSConnectionPool(host='beniculturali.it', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7fa3fb43bee0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='beniculturali.it', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7fa3fb5bfca0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
benu.rs,"HTTPSConnectionPool(host='benu.rs', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='benu.rs', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
