resett.no,"HTTPSConnectionPool(host='resett.no', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='resett.no', port=443): Read timed out. (read timeout=2)"
residenzak1.it,Exceeded 30 redirects.,Exceeded 30 redirects.
ressourcen.dk,"HTTPSConnectionPool(host='ressourcen.dk', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fca8eaf0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='ressourcen.dk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fc8b8520>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
restaurantbuffalo.dk,"HTTPSConnectionPool(host='restaurantbuffalo.dk', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fcae8640>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='restaurantbuffalo.dk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fcc3b970>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
revistaei.cl,"HTTPSConnectionPool(host='revistaei.cl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fb188e80>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='revistaei.cl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fbdcc580>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
ribeiro.com.ar,"HTTPSConnectionPool(host='ribeiro.com.ar', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f12fb1af220>, 'Connection to ribeiro.com.ar timed out. (connect timeout=2)'))","HTTPConnectionPool(host='ribeiro.com.ar', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f12fb2b5580>, 'Connection to ribeiro.com.ar timed out. (connect timeout=2)'))"
ric.si,"HTTPSConnectionPool(host='ric.si', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fb24deb0>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='ric.si', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fb16e310>: Failed to establish a new connection: [Errno 111] Connection refused'))"
ricardoeletro.com.br,"HTTPSConnectionPool(host='ricardoeletro.com.br', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f12fb1a1ee0>, 'Connection to ricardoeletro.com.br timed out. (connect timeout=2)'))","HTTPConnectionPool(host='ricardoeletro.com.br', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f12fb33d4f0>, 'Connection to ricardoeletro.com.br timed out. (connect timeout=2)'))"
rid.go.th,"HTTPSConnectionPool(host='rid.go.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fb37d880>: Failed to establish a new connection: [Errno 101] Network is unreachable'))","('Connection aborted.', RemoteDisconnected('Remote end closed connection without response'))"
ridebuster.com,"HTTPSConnectionPool(host='ridebuster.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='ridebuster.com', port=80): Read timed out. (read timeout=2)"
rikunabi.com,"HTTPSConnectionPool(host='rikunabi.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fb37abe0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='rikunabi.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fbe2a910>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
rington.io,"HTTPSConnectionPool(host='rington.io', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='rington.io', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
ristekdikti.go.id,"HTTPSConnectionPool(host='ristekdikti.go.id', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f12fc969370>, 'Connection to ristekdikti.go.id timed out. (connect timeout=2)'))","HTTPConnectionPool(host='ristekdikti.go.id', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fb3c36d0>: Failed to establish a new connection: [Errno 113] No route to host'))"
ritsumei.ac.jp,"HTTPSConnectionPool(host='ritsumei.ac.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fce7a100>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='ritsumei.ac.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fb188e20>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
rivera.gub.uy,"HTTPSConnectionPool(host='rivera.gub.uy', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='rivera.gub.uy', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
riyadbank.com,"HTTPSConnectionPool(host='www.riyadbank.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.riyadbank.com', port=443): Read timed out. (read timeout=2)"
rmutr.ac.th,"HTTPSConnectionPool(host='rmutr.ac.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fca507c0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='rmutr.ac.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fbe13ee0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
roditeljsrbija.com,"HTTPSConnectionPool(host='roditeljsrbija.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='roditeljsrbija.com', port=80): Read timed out. (read timeout=2)"
roundmenu.com,"HTTPSConnectionPool(host='www.roundmenu.com', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.roundmenu.com', port=443): Read timed out. (read timeout=2)"
rri.ro,"HTTPSConnectionPool(host='rri.ro', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'rri.ro' doesn't match 'www.rri.ro'"")))","HTTPSConnectionPool(host='www.rri.ro', port=443): Read timed out. (read timeout=2)"
rs-online.com,"HTTPSConnectionPool(host='rs-online.com', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fb117070>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='rs-online.com', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fcbca3a0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
rs.ba,"HTTPSConnectionPool(host='rs.ba', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fb21ed30>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='rs.ba', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fb37a0a0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
rtm.gov.my,"HTTPSConnectionPool(host='rtm.gov.my', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f12fcb7ff40>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='rtm.gov.my', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f12fb16e2b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
rttuotetieto.fi,"HTTPSConnectionPool(host='rttuotetieto.fi', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'rttuotetieto.fi' doesn't match either of 'www.rttuotetieto.fi', 'urakoitsija.rttuotetieto.fi'"")))","HTTPSConnectionPool(host='www.rttuotetieto.fi', port=443): Read timed out. (read timeout=2)"
