924, 76, 95, 0
930, 70, 117, 0
930, 70, 115, 0
910, 90, 126, 0
930, 70, 109, 0
888, 112, 119, 0
928, 72, 131, 0
926, 74, 119, 0
919, 81, 144, 0
937, 63, 103, 0
942, 58, 105, 0
930, 70, 93, 0
925, 75, 123, 0
918, 82, 124, 0
927, 73, 124, 0
935, 65, 104, 0
947, 53, 105, 0
923, 77, 105, 0
906, 94, 113, 0
941, 59, 111, 0
939, 61, 104, 0
915, 85, 132, 0
930, 70, 109, 0
916, 84, 103, 0
939, 61, 145, 0
898, 102, 114, 0
944, 56, 98, 0
927, 73, 105, 0
931, 69, 109, 0
904, 96, 147, 0
873, 127, 108, 0
949, 51, 135, 0
947, 53, 162, 0
130, 8, 19, 0
