skijanje.rs,"HTTPSConnectionPool(host='www.skijanje.rs', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.skijanje.rs', port=443): Read timed out. (read timeout=2)"
sns24.gov.pt,"HTTPSConnectionPool(host='sns24.gov.pt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.sns24.gov.pt', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
soc.go.th,Exceeded 30 redirects.,Exceeded 30 redirects.
socpoist.sk,"HTTPSConnectionPool(host='socpoist.sk', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423c880820>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='socpoist.sk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423bb42070>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
sodimac.com.br,"HTTPSConnectionPool(host='www.sodimac.com.br', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='www.sodimac.com.br', port=443): Read timed out. (read timeout=2)"
sodimac.com.uy,Exceeded 30 redirects.,Exceeded 30 redirects.
sokmarket.com.tr,"HTTPSConnectionPool(host='sokmarket.com.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))","HTTPSConnectionPool(host='www.sokmarket.com.tr', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1131)')))"
solen.cz,"HTTPSConnectionPool(host='solen.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))","HTTPSConnectionPool(host='solen.cz', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLError(1, '[SSL: WRONG_SIGNATURE_TYPE] wrong signature type (_ssl.c:1131)')))"
sony.com.hk,"HTTPSConnectionPool(host='sony.com.hk', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423b0145b0>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))","HTTPConnectionPool(host='sony.com.hk', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423d4b2610>: Failed to establish a new connection: [Errno -3] Temporary failure in name resolution'))"
sosbioboeren.nl,"HTTPSConnectionPool(host='sosbioboeren.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423c390af0>: Failed to establish a new connection: [Errno 111] Connection refused'))","HTTPConnectionPool(host='sosbioboeren.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423b1e55b0>: Failed to establish a new connection: [Errno 111] Connection refused'))"
soubarato.com.br,"HTTPSConnectionPool(host='www.soubarato.com.br', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='www.soubarato.com.br', port=80): Read timed out. (read timeout=2)"
soumu.go.jp,"HTTPSConnectionPool(host='soumu.go.jp', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f423c80ae20>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))","HTTPConnectionPool(host='soumu.go.jp', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f423705dfd0>: Failed to establish a new connection: [Errno -5] No address associated with hostname'))"
southernstar.ie,"HTTPSConnectionPool(host='southernstar.ie', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f423c880070>, 'Connection to southernstar.ie timed out. (connect timeout=2)'))","HTTPConnectionPool(host='southernstar.ie', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f4236d0cf10>, 'Connection to southernstar.ie timed out. (connect timeout=2)'))"
