storylog.co,"HTTPSConnectionPool(host='storylog.co', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='storylog.co', port=443): Read timed out. (read timeout=2)"
superdrug.com,"HTTPSConnectionPool(host='superdrug.com', port=443): Read timed out. (read timeout=2)","HTTPConnectionPool(host='superdrug.com', port=80): Read timed out. (read timeout=2)"
superintendencia.gob.ni,"HTTPSConnectionPool(host='superintendencia.gob.ni', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53befc32e0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='superintendencia.gob.ni', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f53bff31ee0>, 'Connection to superintendencia.gob.ni timed out. (connect timeout=2)'))"
superpages.com,"HTTPSConnectionPool(host='superpages.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f53c2e86970>, 'Connection to superpages.com timed out. (connect timeout=2)'))","HTTPConnectionPool(host='superpages.com', port=80): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPConnection object at 0x7f53bfb23730>, 'Connection to superpages.com timed out. (connect timeout=2)'))"
suruga-ya.jp,"HTTPSConnectionPool(host='suruga-ya.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'suruga-ya.jp' doesn't match 'www.suruga-ya.jp'"")))","HTTPSConnectionPool(host='suruga-ya.jp', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'suruga-ya.jp' doesn't match 'www.suruga-ya.jp'"")))"
sut.ac.th,"HTTPSConnectionPool(host='sut.ac.th', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c3788580>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='sut.ac.th', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53c4494eb0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
svejo.net,"HTTPSConnectionPool(host='svejo.net', port=443): Read timed out. (read timeout=2)","HTTPSConnectionPool(host='svejo.net', port=443): Read timed out. (read timeout=2)"
svu.edu.eg,"HTTPSConnectionPool(host='svu.edu.eg', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c0990460>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='svu.edu.eg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53bd7116d0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
svutennis.nl,"HTTPSConnectionPool(host='svutennis.nl', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53c09902b0>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='svutennis.nl', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53bd4d4880>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
sweclockers.com,"HTTPSConnectionPool(host='www.sweclockers.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f53bdf626a0>, 'Connection to www.sweclockers.com timed out. (connect timeout=2)'))","HTTPSConnectionPool(host='www.sweclockers.com', port=443): Max retries exceeded with url: / (Caused by ConnectTimeoutError(<urllib3.connection.HTTPSConnection object at 0x7f53c550aa30>, 'Connection to www.sweclockers.com timed out. (connect timeout=2)'))"
swiat-zdrowia.pl,"HTTPSConnectionPool(host='swiat-zdrowia.pl', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(""hostname 'swiat-zdrowia.pl' doesn't match either of '*.neuca.pl', 'neuca.pl'"")))","HTTPSConnectionPool(host='www.swiat-zdrowia.pl', port=443): Read timed out. (read timeout=2)"
swissinfo.ch,"HTTPSConnectionPool(host='swissinfo.ch', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))","HTTPSConnectionPool(host='swissinfo.ch', port=443): Max retries exceeded with url: / (Caused by SSLError(SSLCertVerificationError(1, '[SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: unable to get local issuer certificate (_ssl.c:1124)')))"
swu.bg,"HTTPSConnectionPool(host='swu.bg', port=443): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPSConnection object at 0x7f53bc12a820>: Failed to establish a new connection: [Errno -2] Name or service not known'))","HTTPConnectionPool(host='swu.bg', port=80): Max retries exceeded with url: / (Caused by NewConnectionError('<urllib3.connection.HTTPConnection object at 0x7f53c1825dc0>: Failed to establish a new connection: [Errno -2] Name or service not known'))"
